Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2009.03,Corporate business enterprises,141,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,8131
2009.03,Corporate business enterprises,141,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,68858
2009.03,Corporate business enterprises,141,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,417789
2009.03,Corporate business enterprises,141,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,237254
2009.03,Corporate business enterprises,141,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,180535
2009.03,Corporate business enterprises,141,Closing balance net worth,LE00000,B900000,6516
2009.03,Corporate business enterprises,141,Closing balance total liabilities and net worth,LE00000,L000000,646518
2009.03,Central bank,211,Closing balance total assets,LE00000,A000000,30049
2009.03,Central bank,211,Financial assets Closing balance Total financial assets,LE00000,AFA0000,29991
2009.03,Central bank,211,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Central bank,211,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1439
2009.03,Central bank,211,Financial assets Closing balance debt securities,LE00000,AFA0300,19077
2009.03,Central bank,211,Financial assets Closing balance loans,LE00000,AFA0400,9193
2009.03,Central bank,211,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,147
2009.03,Central bank,211,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,0
2009.03,Central bank,211,Financial assets Closing balance financial derivatives,LE00000,AFA0700,0
2009.03,Central bank,211,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,135
2009.03,Central bank,211,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,30049
2009.03,Central bank,211,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Central bank,211,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,16737
2009.03,Central bank,211,Financial liabilities Closing balance debt securities,LE00000,AFL0300,4231
2009.03,Central bank,211,Financial liabilities Closing balance loans,LE00000,AFL0400,4675
2009.03,Central bank,211,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,3753
2009.03,Central bank,211,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2009.03,Central bank,211,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,361
2009.03,Central bank,211,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,292
2009.03,Central bank,211,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,58
2009.03,Central bank,211,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,41
2009.03,Central bank,211,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,17
2009.03,Central bank,211,Closing balance net worth,LE00000,B900000,-0
2009.03,Central bank,211,Closing balance total liabilities and net worth,LE00000,L000000,30049
2009.03,Registered banks,221,Closing balance total assets,LE00000,A000000,403139
2009.03,Registered banks,221,Financial assets Closing balance Total financial assets,LE00000,AFA0000,396201
2009.03,Registered banks,221,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Registered banks,221,Financial assets Closing balance currency and deposits,LE00000,AFA0200,13651
